519,230	856,230	856,516	519,516
516,229	853,229	853,515	516,515
510,231	847,231	847,517	510,517
498,233	835,233	835,519	498,519
477,232	814,232	814,518	477,518
459,231	796,231	796,517	459,517
441,233	778,233	778,519	441,519
420,229	757,229	757,515	420,515
405,228	742,228	742,514	405,514
390,227	727,227	727,513	390,513
378,226	715,226	715,512	378,512
363,225	700,225	700,511	363,511
354,224	691,224	691,510	354,510
345,226	682,226	682,512	345,512
339,231	676,231	676,517	339,517
330,236	667,236	667,522	330,522
321,244	658,244	658,530	321,530
315,246	652,246	652,532	315,532
309,248	646,248	646,534	309,534
300,244	637,244	637,530	300,530
294,243	631,243	631,529	294,529
282,236	619,236	619,522	282,522
264,229	601,229	601,515	264,515
243,219	580,219	580,505	243,505
222,212	559,212	559,498	222,498
201,202	538,202	538,488	201,488
177,192	514,192	514,478	177,478
156,182	493,182	493,468	156,468
135,172	472,172	472,458	135,458
120,162	457,162	457,448	120,448
108,155	445,155	445,441	108,441
102,148	439,148	439,434	102,434
99,138	436,138	436,424	99,424
96,125	433,125	433,411	96,411
99,118	436,118	436,404	99,404
108,111	445,111	445,397	108,397
117,105	454,105	454,391	117,391
126,99	463,99	463,385	126,385
132,93	469,93	469,379	132,379
141,87	478,87	478,373	141,373
144,81	481,81	481,367	144,367
147,75	484,75	484,361	147,361
153,75	490,75	490,361	153,361
159,69	496,69	496,355	159,355
168,66	505,66	505,352	168,352
180,66	517,66	517,352	180,352
189,66	526,66	526,352	189,352
201,66	538,66	538,352	201,352
210,72	547,72	547,358	210,358
222,78	559,78	559,364	222,364
231,84	568,84	568,370	231,370
243,96	580,96	580,382	243,382
255,105	592,105	592,391	255,391
267,117	604,117	604,403	267,403
279,131	616,131	616,417	279,417
288,148	625,148	625,434	288,434
297,165	634,165	634,451	297,451
309,188	646,188	646,474	309,474
315,208	652,208	652,494	315,494
318,225	655,225	655,511	318,511
318,242	655,242	655,528	318,528
318,259	655,259	655,545	318,545
